publisher,mobility_type,conversion_country,country_code_by_phone,asset_country,attribution_type,platform,duration_install_to_activation,conversions,month
PublisherA,Private Hire,AT,AT,DE,install,android,<2h,1,2022-01-01
PublisherA,Private Hire,AT,DE,DE,install,android,<2h,3,2022-01-01
PublisherA,Private Hire,AT,SE,DE,install,android,<2h,1,2022-01-01
PublisherB,Private Hire,AT,DE,DE,install,No Device,<2h,1,2022-01-01
PublisherB,Private Hire,AT,AT,DE,install,ios,no data,1,2022-01-01
PublisherB,Private Hire,AT,DE,DE,install,ios,<2h,2,2022-01-01
PublisherB,Private Hire,AT,DE,DE,install,ios,no data,8,2022-01-01
PublisherB,Private Hire,AT,#N/A,DE,install,ios,no data,1,2022-01-01
PublisherF,Private Hire,AT,DE,DE,install,ios,<2h,1,2022-01-01
PublisherI,Private Hire,AT,DE,DE,install,ios,<2h,1,2022-01-01
PublisherI,Private Hire,AT,ES,DE,retargeting,No Device,<24h,1,2022-01-01
PublisherI,Private Hire,AT,DE,DE,retargeting,android,<24h,2,2022-01-01
PublisherS,Private Hire,AT,DE,DE,install,No Device,<2h,2,2022-01-01
PublisherS,Private Hire,AT,DE,DE,install,ios,<24h,3,2022-01-01
PublisherS,Private Hire,AT,DE,DE,install,ios,<2h,4,2022-01-01
PublisherS,Private Hire,AT,PL,DE,install,ios,<24h,1,2022-01-01
PublisherS,Private Hire,AT,#N/A,DE,install,ios,<24h,2,2022-01-01
PublisherT,Private Hire,AT,DE,DE,install,ios,<2h,1,2022-01-01
PublisherT,Private Hire,AT,#N/A,DE,install,ios,<24h,2,2022-01-01
PublisherA,Other,DE,DE,DE,install,No Device,<24h,2,2022-01-01
PublisherA,Other,DE,DE,DE,install,No Device,<2h,84,2022-01-01
PublisherA,Other,DE,DE,DE,install,No Device,>24h,6,2022-01-01
PublisherA,Other,DE,UK,DE,install,No Device,<2h,1,2022-01-01
PublisherA,Other,DE,ES,DE,install,No Device,<2h,2,2022-01-01
PublisherA,Other,DE,#N/A,DE,install,No Device,<24h,1,2022-01-01
PublisherA,Other,DE,#N/A,DE,install,No Device,<2h,4,2022-01-01
PublisherA,Other,DE,DE,DE,install,android,<24h,1,2022-01-01
PublisherA,Other,DE,DE,DE,install,android,<2h,21,2022-01-01
PublisherA,Other,DE,IT,DE,install,android,<2h,1,2022-01-01
PublisherA,Other,DE,DE,DE,install,ios,<2h,3,2022-01-01
PublisherA,Other,DE,DE,DE,retargeting,No Device,<24h,3,2022-01-01
PublisherA,Other,DE,DE,DE,retargeting,No Device,<2h,16,2022-01-01
PublisherA,Other,DE,DE,DE,retargeting,No Device,>24h,3,2022-01-01
PublisherA,Other,DE,#N/A,DE,retargeting,No Device,<2h,1,2022-01-01
PublisherA,Other,DE,DE,DE,retargeting,ios,<2h,1,2022-01-01
PublisherA,TAXI,DE,AT,DE,install,No Device,<2h,1,2022-01-01
PublisherA,TAXI,DE,DE,DE,install,No Device,<24h,2,2022-01-01
PublisherA,TAXI,DE,DE,DE,install,No Device,<2h,33,2022-01-01
PublisherA,TAXI,DE,IT,DE,install,No Device,<24h,1,2022-01-01
PublisherA,TAXI,DE,GR,DE,install,No Device,<2h,1,2022-01-01
PublisherA,TAXI,DE,ES,DE,install,No Device,<2h,1,2022-01-01
PublisherA,TAXI,DE,#N/A,DE,install,No Device,<2h,1,2022-01-01
PublisherA,TAXI,DE,DE,DE,install,android,<24h,11,2022-01-01
PublisherA,TAXI,DE,DE,DE,install,android,<2h,202,2022-01-01
PublisherA,TAXI,DE,DE,DE,install,android,>24h,5,2022-01-01
PublisherA,TAXI,DE,IT,DE,install,android,<2h,3,2022-01-01
PublisherA,TAXI,DE,GR,DE,install,android,<2h,3,2022-01-01
PublisherA,TAXI,DE,UK,DE,install,android,<24h,1,2022-01-01
PublisherA,TAXI,DE,UK,DE,install,android,<2h,4,2022-01-01
PublisherA,TAXI,DE,IE,DE,install,android,<2h,3,2022-01-01
PublisherA,TAXI,DE,ES,DE,install,android,<2h,4,2022-01-01
PublisherA,TAXI,DE,PL,DE,install,android,<2h,1,2022-01-01
PublisherA,TAXI,DE,#N/A,DE,install,android,<24h,3,2022-01-01
PublisherA,TAXI,DE,#N/A,DE,install,android,<2h,13,2022-01-01
PublisherA,TAXI,DE,DE,DE,install,ios,<2h,35,2022-01-01
PublisherA,TAXI,DE,DE,DE,retargeting,No Device,<2h,9,2022-01-01
PublisherA,TAXI,DE,#N/A,DE,retargeting,No Device,<2h,1,2022-01-01
PublisherA,TAXI,DE,DE,DE,retargeting,android,<24h,9,2022-01-01
PublisherA,TAXI,DE,DE,DE,retargeting,android,<2h,26,2022-01-01
PublisherA,TAXI,DE,DE,DE,retargeting,android,>24h,5,2022-01-01
PublisherA,TAXI,DE,FR,DE,retargeting,android,<24h,1,2022-01-01
PublisherA,TAXI,DE,FR,DE,retargeting,android,<2h,1,2022-01-01
PublisherA,TAXI,DE,ES,DE,retargeting,android,<2h,1,2022-01-01
PublisherA,TAXI,DE,#N/A,DE,retargeting,android,<24h,2,2022-01-01
PublisherA,TAXI,DE,#N/A,DE,retargeting,android,<2h,3,2022-01-01
PublisherA,TAXI,DE,DE,DE,retargeting,ios,<2h,15,2022-01-01
PublisherA,Private Hire,DE,AT,DE,install,No Device,<2h,1,2022-01-01
PublisherA,Private Hire,DE,DE,DE,install,No Device,<24h,3,2022-01-01
PublisherA,Private Hire,DE,DE,DE,install,No Device,<2h,75,2022-01-01
PublisherA,Private Hire,DE,DE,DE,install,No Device,>24h,2,2022-01-01
PublisherA,Private Hire,DE,IT,DE,install,No Device,<2h,1,2022-01-01
PublisherA,Private Hire,DE,GR,DE,install,No Device,<2h,1,2022-01-01
PublisherA,Private Hire,DE,FR,DE,install,No Device,<2h,1,2022-01-01
PublisherA,Private Hire,DE,IE,DE,install,No Device,<2h,1,2022-01-01
PublisherA,Private Hire,DE,ES,DE,install,No Device,<2h,1,2022-01-01
PublisherA,Private Hire,DE,#N/A,DE,install,No Device,<2h,3,2022-01-01
PublisherA,Private Hire,DE,AT,DE,install,android,<24h,1,2022-01-01
PublisherA,Private Hire,DE,AT,DE,install,android,<2h,8,2022-01-01
PublisherA,Private Hire,DE,DE,DE,install,android,<24h,18,2022-01-01
PublisherA,Private Hire,DE,DE,DE,install,android,<2h,702,2022-01-01
PublisherA,Private Hire,DE,DE,DE,install,android,>24h,5,2022-01-01
PublisherA,Private Hire,DE,IT,DE,install,android,<2h,5,2022-01-01
PublisherA,Private Hire,DE,GR,DE,install,android,<2h,3,2022-01-01
PublisherA,Private Hire,DE,GR,DE,install,android,>24h,1,2022-01-01
PublisherA,Private Hire,DE,UK,DE,install,android,<24h,1,2022-01-01
PublisherA,Private Hire,DE,UK,DE,install,android,<2h,4,2022-01-01
PublisherA,Private Hire,DE,FR,DE,install,android,<2h,2,2022-01-01
PublisherA,Private Hire,DE,ES,DE,install,android,<24h,2,2022-01-01
PublisherA,Private Hire,DE,ES,DE,install,android,<2h,10,2022-01-01
PublisherA,Private Hire,DE,PL,DE,install,android,<24h,1,2022-01-01
PublisherA,Private Hire,DE,PL,DE,install,android,<2h,9,2022-01-01
PublisherA,Private Hire,DE,SE,DE,install,android,<2h,1,2022-01-01
PublisherA,Private Hire,DE,#N/A,DE,install,android,<24h,3,2022-01-01
PublisherA,Private Hire,DE,#N/A,DE,install,android,<2h,20,2022-01-01
PublisherA,Private Hire,DE,DE,DE,install,ios,<2h,46,2022-01-01
PublisherA,Private Hire,DE,#N/A,DE,install,ios,<2h,1,2022-01-01
PublisherA,Private Hire,DE,DE,DE,reattr,ios,<2h,1,2022-01-01
PublisherA,Private Hire,DE,DE,DE,retargeting,No Device,<24h,1,2022-01-01
PublisherA,Private Hire,DE,DE,DE,retargeting,No Device,<2h,7,2022-01-01
PublisherA,Private Hire,DE,DE,DE,retargeting,No Device,>24h,1,2022-01-01
PublisherA,Private Hire,DE,ES,DE,retargeting,No Device,<2h,1,2022-01-01
PublisherA,Private Hire,DE,DE,DE,retargeting,android,<24h,13,2022-01-01
PublisherA,Private Hire,DE,DE,DE,retargeting,android,<2h,34,2022-01-01
PublisherA,Private Hire,DE,DE,DE,retargeting,android,>24h,6,2022-01-01
PublisherA,Private Hire,DE,UK,DE,retargeting,android,<2h,1,2022-01-01
PublisherA,Private Hire,DE,PL,DE,retargeting,android,<2h,1,2022-01-01
PublisherA,Private Hire,DE,#N/A,DE,retargeting,android,<24h,1,2022-01-01
PublisherA,Private Hire,DE,DE,DE,retargeting,ios,<2h,11,2022-01-01
PublisherB,Other,DE,DE,DE,install,No Device,<2h,82,2022-01-01
PublisherB,Other,DE,DE,DE,install,No Device,>24h,2,2022-01-01
PublisherB,Other,DE,DE,DE,install,No Device,no data,16,2022-01-01
PublisherB,Other,DE,GR,DE,install,No Device,<2h,1,2022-01-01
PublisherB,Other,DE,#N/A,DE,install,No Device,<2h,1,2022-01-01
PublisherB,Other,DE,DE,DE,install,ios,<2h,5,2022-01-01
PublisherB,Other,DE,DE,DE,install,ios,no data,12,2022-01-01
PublisherB,Other,DE,#N/A,DE,install,ios,<2h,1,2022-01-01
PublisherB,TAXI,DE,DE,DE,install,No Device,<2h,15,2022-01-01
PublisherB,TAXI,DE,DE,DE,install,No Device,no data,52,2022-01-01
PublisherB,TAXI,DE,DE,DE,install,ios,<24h,5,2022-01-01
PublisherB,TAXI,DE,DE,DE,install,ios,<2h,153,2022-01-01
PublisherB,TAXI,DE,DE,DE,install,ios,>24h,6,2022-01-01
PublisherB,TAXI,DE,DE,DE,install,ios,no data,474,2022-01-01
PublisherB,TAXI,DE,ES,DE,install,ios,<2h,1,2022-01-01
PublisherB,TAXI,DE,#N/A,DE,install,ios,<2h,2,2022-01-01
PublisherB,TAXI,DE,#N/A,DE,install,ios,>24h,1,2022-01-01
PublisherB,TAXI,DE,#N/A,DE,install,ios,no data,3,2022-01-01
PublisherB,Private Hire,DE,DE,DE,install,No Device,<24h,2,2022-01-01
PublisherB,Private Hire,DE,DE,DE,install,No Device,<2h,34,2022-01-01
PublisherB,Private Hire,DE,DE,DE,install,No Device,no data,128,2022-01-01
PublisherB,Private Hire,DE,PT,DE,install,No Device,no data,1,2022-01-01
PublisherB,Private Hire,DE,AT,DE,install,ios,<2h,1,2022-01-01
PublisherB,Private Hire,DE,DE,DE,install,ios,<24h,5,2022-01-01
PublisherB,Private Hire,DE,DE,DE,install,ios,<2h,450,2022-01-01
PublisherB,Private Hire,DE,DE,DE,install,ios,>24h,5,2022-01-01
PublisherB,Private Hire,DE,DE,DE,install,ios,no data,1158,2022-01-01
PublisherB,Private Hire,DE,GR,DE,install,ios,<2h,1,2022-01-01
PublisherB,Private Hire,DE,UK,DE,install,ios,<2h,1,2022-01-01
PublisherB,Private Hire,DE,PL,DE,install,ios,no data,1,2022-01-01
PublisherB,Private Hire,DE,#N/A,DE,install,ios,<2h,2,2022-01-01
PublisherB,Private Hire,DE,#N/A,DE,install,ios,no data,3,2022-01-01
